West Virginia,26,0.462,25.2,23.8,3.85,0,-0.03,0.34,-0.48,1.396473305,0.151,-0.6,0.82,0.81,0.5383
Western Kentucky,26,0.643,44.2,29.4,-2.61,0,1.03,-0.35,1.42,1.140750516,0.146,0.7,0.67,0.56,0.4608
Western Michigan,26,0.615,32.5,28.2,-2.62,0,0.41,-0.39,0.11,1.587676751,0.203,-0.2,0.65,0.5,0.6344
Wisconsin,26,0.692,25.4,16.2,6.8,12,0.3,1.18,1.29,1.171444431,0.085,0.1,0.84,0.82,0.5783
Wyoming,26,0.538,25.4,23.7,-4.52,0,-0.19,-0.37,0.42,1.19593386,0.108,-0.3,0.79,0.79,0.4727
Air Force,26,0.5,24.3,15,-4.99,0,0.37,0.22,1.2,1.058453405,0.102,-0.3,0.46,0.38,0.5322
Akron,26,0.167,17.2,41.3,5.52,0,-0.94,-1.38,-2.66,1.387420786,0.294,-1.3,0.89,0.66,0.5441
Alabama,1,1,48.5,19.4,9.72,3,2.47,0.5,2.96,1.279230773,0.127,1.2,0.55,0.6,0.5113
Appalachian State,26,0.75,33.8,20,-5.95,0,0.47,0.56,1.43,1.239501404,0.096,1.1,0.87,0.53,0.5216
Arizona,26,0,17.4,39.8,1.12,0,-0.79,-0.79,-2.11,1.111323101,0.208,-0.5,0.66,0.79,0.4816
Arizona State,26,0.5,40.3,23.3,-4,0,1.01,0.25,1.8,1.381406324,0.091,1.1,0.5,0.76,0.4533
Arkansas,26,0.3,25.7,34.9,11.39,0,0.04,-0.15,0.05,1.191489396,0.113,-0.6,0.63,0.68,0.3901
Arkansas State,26,0.364,32.9,37.2,-3.77,0,0.43,-0.77,-0.29,1.453833465,0.25,-0.4,0.77,0.54,0.5037
Army,26,0.75,26.8,14.8,-7.59,0,-0.06,0.39,-0.58,1.102670742,0.069,-0.3,0.61,0.44,0.5543
Auburn,26,0.545,25.1,24.7,9.52,11,0.26,-0.33,-0.23,1.197144416,0.071,0.2,0.61,0.6,0.4609
BYU,16,0.917,43.5,15.3,-3.89,0,2.01,0.76,4.1,1.36728138,0.07,0,0.77,0.62,0.4891
Ball State,26,0.875,34.3,25.8,8.91,0,1,0.45,-0.01,1.180572835,0.149,0.7,0.68,0.81,0.4589
Baylor,26,0.222,23.3,29.2,5.81,0,-0.28,0.27,-1.17,1.277833434,0.15,0.8,0.7,0.32,0.4798
Boise State,26,0.714,33.9,27.1,-3.02,0,0.27,0.02,-0.22,1.16972429,0.108,0.1,0.54,0.75,0.5517
Boston College,26,0.545,27.8,28.4,-0.59,0,0.16,-0.44,-0.69,1.276954791,0.171,0.2,0.54,0.81,0.5285
Bowling Green,26,0,11.4,45,6.49,0,-1.6,-1.31,-1.72,1.142493311,0.222,-0.5,0.45,0.49,0.401
Buffalo,26,0.857,43.4,21.9,1.73,0,1.51,0.42,2.2,1.362890686,0.099,0.6,0.8,0.62,0.5432
California,26,0.25,20.3,26.5,-2.36,0,-0.7,0.32,-0.78,1.061604972,0.13,0.5,0.93,0.5,0.5599
Central Michigan,26,0.5,31.3,30.2,8.26,0,0,0.43,-0.58,1.262839696,0.16,-0.7,0.7,0.77,0.4839
Charlotte,26,0.333,27,32.5,-9.41,0,-0.25,-1.18,-1.09,1.342509705,0.21,-0.1,0.77,0.46,0.5285
Cincinnati,8,0.9,37.5,16.8,-1.28,20,0.49,1.03,1.46,1.377099273,0.094,0.4,0.69,0.76,0.5206
Clemson,2,0.833,43.5,20.2,1.07,1,1.16,1.02,1.59,1.352434402,0.113,0.9,0.6,0.51,0.5183
Coastal Carolina,12,0.917,37.2,20.3,-2.86,0,1.35,0.65,1.18,1.268790165,0.106,-0.1,0.88,0.62,0.531
Colorado,26,0.667,28.5,31.7,-0.66,0,0.09,-0.01,-0.64,1.318322207,0.188,0.3,0.36,0.62,0.5342
Colorado State,26,0.25,22.3,35.8,-2.56,0,-0.28,-0.54,-0.06,1.370231602,0.068,-0.9,0.76,0.63,0.4597
Connecticut,26,0,0,0,0,0,-1,-1,-2.52,-1,0.208,-0.5,-1,-1,-1
Duke,26,0.182,24.8,38.1,-1.6,0,-0.92,-0.59,-1.35,1.315792948,0.179,-1,0.56,0.73,0.4905
East Carolina,26,0.333,30.2,35.4,-1.98,0,-0.35,-0.14,-0.17,1.229692096,0.132,-0.1,0.87,0.79,0.5021
Eastern Michigan,26,0.333,33.2,36,9.13,0,0.49,-0.43,-0.39,1.302981147,0.176,0.4,0.4,0.49,0.5088
Florida,7,0.667,39.8,30.8,8.02,8,1.32,-0.07,1.81,1.313103243,0.14,0.1,0.63,0.67,0.5242
Florida Atlantic,26,0.556,18.9,17.4,-10.02,0,-1.04,0.16,0.08,1.287532946,0.103,1.5,0.59,0.43,0.474
Florida International,26,0,22.4,32.4,-10.38,0,-1.01,-0.9,-1.45,1.347041039,0.17,0.2,0.3,0.59,0.409
Florida State,26,0.333,25.8,36,-1.54,0,-0.33,-0.95,-1.46,1.333009829,0.207,-0.3,0.63,0.83,0.4729
Fresno State,26,0.5,32.8,30,-11.74,0,-0.08,-0.37,0.05,1.368985478,0.174,0.5,0.5,0.62,0.5358
Georgia,9,0.8,32.3,20,8.53,4,0.65,0.66,1.28,1.315135429,0.131,0.2,0.5,0.8,0.4811
Georgia Southern,26,0.615,27.2,20.8,-6.18,0,0.01,0.44,0.96,1.135538924,0.106,0.6,0.8,0.59,0.5671
Georgia State,26,0.6,33.3,31.7,-3.86,0,0.22,-0.01,0.14,1.341427412,0.177,0,0.53,0.83,0.5099
Georgia Tech,26,0.3,23.9,36.8,0.05,0,-0.29,-0.46,-0.35,1.36423773,0.144,-0.5,0.74,0.94,0.436
Hawaii,26,0.556,26.2,27.6,-4.2,0,0.12,-0.13,-0.24,1.165249433,0.149,-0.6,0.44,0.6,0.459
Houston,26,0.375,30,32,0.53,0,0.03,-0.05,-0.49,1.296774579,0.152,-0.5,0.73,0.93,0.5551
Illinois,26,0.25,20.1,34.9,4.36,0,-0.3,-0.89,-1.48,1.369413517,0.16,0.8,0.86,0.71,0.4581
Indiana,11,0.75,28.9,20.3,4.46,0,-0.11,0.87,0.06,1.235134722,0.117,0.2,0.74,0.82,0.5165
Iowa,15,0.75,31.8,16,1.77,24,0.02,0.79,1.11,1.100979583,0.043,0.7,0.5,0.56,0.5187
Iowa State,10,0.75,32.9,21.4,5.43,23,0.99,0.65,0.95,1.216536548,0.132,-0.2,0.62,0.73,0.558
Kansas,26,0,15.8,46,7.25,0,-0.95,-0.54,-3.02,1.273603685,0.227,-1,0.41,0.44,0.513
Kansas State,26,0.4,26.6,32.2,4.5,0,0.17,-0.4,-0.37,1.38956315,0.161,-0.1,0.59,0.63,0.4917
Kent State,26,0.75,49.8,38,-0.74,0,1.83,-1.3,1.11,1.30177877,0.238,0.5,0.68,0.57,0.4974
Kentucky,26,0.455,21.8,25.9,6.94,0,-0.42,0.09,-0.42,1.046775372,0.153,-0.2,0.68,0.78,0.5637
LSU,26,0.5,32,34.9,7.54,6,-0.33,-0.07,-1.9,1.188476154,0.273,0.8,0.3,0.54,0.4829
Liberty,26,0.909,38.2,20.5,-12.22,0,0.67,-0.27,1.33,1.307407409,0.149,0.1,0.44,0.59,0.5425
Louisiana Tech,26,0.5,26.7,34.7,-4.24,0,-0.92,-0.62,-1.81,1.202654794,0.216,0.5,0.61,0.31,0.4957
Louisiana,19,0.909,33.6,22,-2.25,0,0.65,0.36,1.29,1.24627092,0.109,0.4,0.65,0.67,0.4702
Louisiana-Monroe,26,0,16.3,42,-2.87,0,-1.03,-1.26,-2.4,1.263593117,0.271,0,0.29,0.69,0.4661
Louisville,26,0.364,29.5,26.6,-1.87,0,0.38,-0.34,0.78,1.536489885,0.142,0,0.79,0.77,0.5196
Marshall,26,0.7,28.5,13,-6.6,0,0.14,0.39,1.12,1.18963063,0.08,-0.1,0.78,0.63,0.4827
Maryland,26,0.4,23.6,32,5.29,0,-0.19,-0.58,0.7,1.530334124,0.138,-0.5,0.62,0.51,0.4803
Massachusetts,26,0,3,40.3,-1.18,0,-1.5,-1.88,-3.9,1.309297991,0.27,0.2,0.52,0.51,0.4878
Memphis,26,0.727,31,27.9,-5.56,0,-0.02,-0.42,0.27,1.411984886,0.103,0,0.69,0.77,0.4512
Miami (FL),26,0.727,34,27,1.47,0,0.78,-0.11,0.47,1.394656397,0.16,0.2,0.59,0.5,0.4493
Miami (OH),26,0.667,28.7,26.7,9.08,0,0.66,-0.08,-0.13,1.631985538,0.2,0,0.86,0.61,0.4856
Michigan,26,0.333,28.3,34.5,3.25,16,0.53,-1.19,0.19,1.368623101,0.121,0,0.36,0.49,0.4337
Michigan State,26,0.286,18,35.1,8.79,0,-0.75,-0.01,-0.58,1.388903467,0.095,-0.2,0.43,0.49,0.4351
Middle Tennessee State,26,0.333,22.9,35.4,-6.25,0,-0.29,-1.1,-1.12,1.230758862,0.176,0.3,0.82,0.51,0.5099
Minnesota,26,0.429,27.3,30.1,2.1,19,0.44,-0.77,-0.38,1.256448301,0.174,0.3,0.82,0.33,0.5289
Ole Miss,26,0.5,39.2,38.3,7.57,0,1.39,-1.21,0.15,1.398213565,0.171,-0.1,0.78,0.64,0.4678
Mississippi State,26,0.364,21.4,28.1,8.67,0,-0.56,0.22,-0.46,1.138336554,0.112,-0.1,0.54,0.48,0.5371
Missouri,26,0.5,26.7,32.3,7.32,0,0.2,-0.9,-0.65,1.238710682,0.183,0.1,0.43,0.64,0.5353
Navy,26,0.3,16.6,30.3,-0.88,0,-0.72,-0.41,-1.93,1.295306431,0.21,0.5,0.5,0.66,0.498
Nebraska,26,0.375,23.1,29.4,5.14,0,-0.21,-0.13,-0.02,1.076238241,0.119,0,0.92,0.59,0.4904
Nevada,26,0.778,30.8,23.3,-7.1,0,0.48,-0.17,0.92,1.426101051,0.143,-0.3,0.73,0.65,0.581
New Mexico,26,0.286,23.9,32.6,-4.28,0,-0.07,-0.52,-1.38,1.247562698,0.221,-1.5,0.7,0.51,0.5144
New Mexico State,26,0.5,26.5,36,-19.18,0,-1,-1,-3.08,0,0.342,-1.3,-1,-1,-1
North Carolina,13,0.667,41.7,29.4,-1.55,18,1.48,-0.49,1.43,1.432063879,0.167,0.5,0.87,0.64,0.5256
North Carolina State,26,0.667,30.3,29.2,-1.57,0,0.11,-0.13,0.3,1.329489152,0.1,-1.3,0.81,0.67,0.4826
North Texas,26,0.4,34.4,42.8,-8.9,0,-0.03,-1.6,-0.7,1.349398563,0.248,-0.5,0.41,0.5,0.4196
Northern Illinois,26,0,24.8,38.7,12.14,0,-0.15,-0.13,-1.78,1.24817487,0.194,-0.6,0.39,0.59,0.5792
Northwestern,26,0.778,24.7,15.9,4.88,0,-0.08,1.14,0.17,1.24110115,0.066,-0.8,0.88,0.8,0.5011
Notre Dame,4,0.833,33.4,19.7,1.23,10,0.97,0.44,1.16,1.250339904,0.123,1.3,0.66,0.51,0.5937
Ohio,26,0.667,34.3,16.7,-6.06,0,0.52,-0.45,1.3,1.349019136,0.121,-0.3,0.51,0.78,0.4687
Ohio State,3,0.875,41,25.8,8.99,2,1.88,0.08,1.46,1.306423702,0.189,0.6,0.65,0.47,0.5564
Oklahoma,6,0.818,43,21.7,3.71,5,0.93,0.82,1.33,1.265894159,0.107,-0.8,0.49,0.7,0.5345
